чтоб; IPT: ; IPAT: ; IST: 
есть; IPT: ; IPAT: ; IST: 
есть; IPT: RedSia.MusicPhraseTranslator; IPAT: ; IST: 
чтоб; IPT: ; IPAT: ; IST: 
что это; IPT: RedSia.TestPhraseTranslator; IPAT: ; IST: 
прикольно; IPT: ; IPAT: ; IST: 
прикольно; IPT: RedSia.MusicPhraseTranslator; IPAT: ; IST: 
Здравствуй; IPT: ; IPAT: ; IST: 
что; IPT: ; IPAT: ; IST: 
что; IPT: RedSia.MusicPhraseTranslator; IPAT: ; IST: 
Здравствуй; IPT: ; IPAT: ; IST: 
100; IPT: ; IPAT: ; IST: 
что; IPT: ; IPAT: ; IST: 
что; IPT: RedSia.MusicPhraseTranslator; IPAT: ; IST: 
что это; IPT: RedSia.TestPhraseTranslator; IPAT: ; IST: 
что это; IPT: RedSia.TestPhraseTranslator; IPAT: ; IST: 
что это; IPT: RedSia.TestPhraseTranslator; IPAT: ; IST: 
Лада; IPT: ; IPAT: ; IST: 
Лада; IPT: RedSia.MusicPhraseTranslator; IPAT: ; IST: 
давай; IPT: ; IPAT: ; IST: 
что это; IPT: RedSia.TestPhraseTranslator; IPAT: ; IST: 
что это; IPT: RedSia.TestPhraseTranslator; IPAT: ; IST: 
что это; IPT: RedSia.TestPhraseTranslator; IPAT: ; IST: 
что это; IPT: RedSia.TestPhraseTranslator; IPAT: ; IST: 
что это; IPT: RedSia.TestPhraseTranslator; IPAT: ; IST: 
хоккей; IPT: ; IPAT: ; IST: 
хоккей; IPT: RedSia.MusicPhraseTranslator; IPAT: ; IST: 
давай; IPT: ; IPAT: ; IST: 
Кто ты; IPT: RedSia.TestPhraseTranslator; IPAT: ; IST: 
что-то; IPT: ; IPAT: ; IST: 
что-то; IPT: RedSia.MusicPhraseTranslator; IPAT: ; IST: 
что-то; IPT: ; IPAT: ; IST: 
что-то; IPT: RedSia.MusicPhraseTranslator; IPAT: ; IST: 
Кто ты; IPT: RedSia.TestPhraseTranslator; IPAT: ; IST: 
прикол; IPT: ; IPAT: ; IST: 
давай; IPT: ; IPAT: ; IST: 
Кто ты; IPT: RedSia.TestPhraseTranslator; IPAT: ; IST: 
да; IPT: ; IPAT: ; IST: 
да; IPT: RedSia.MusicPhraseTranslator; IPAT: ; IST: 
Dota; IPT: ; IPAT: ; IST: 
